id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
275566,Fantastic Location!  Spacious and Elegant!,710122,Kelly,,Grant Hill,32.7078,-117.14369,Entire home/apt,79,7,8,2019-06-01,0.15,12,307
275567,Luxurious and Affordable!  Economy Apartment!,710122,Kelly,,Grant Hill,32.7091,-117.14232,Entire home/apt,89,7,16,2019-07-10,0.18,12,292
278138,Comfy Room Close to Everything !!,1451910,Mike & Deborah,,Scripps Ranch,32.90838,-117.08981,Private room,65,2,79,2019-07-07,0.89,2,362
278158,Comfy & Cozy Room for Travelers,1451910,Mike & Deborah,,Scripps Ranch,32.90678,-117.08732,Private room,65,2,33,2019-06-22,0.39,2,362
279012,Tropical Home Near Beach w/ Hot Tub,1451027,Rebecca,,Ocean Beach,32.73378,-117.2445,Entire home/apt,235,3,19,2019-07-07,0.22,1,22
281817,Private & Quiet Detached Cottage. No A/C,1468925,Sam,,South Park,32.72857,-117.12282,Entire home/apt,95,2,197,2019-06-25,2.15,1,351
289088,"Quiet studio: King bed, AC, Washer",1501859,Belinda,,Midtown,32.74245,-117.17547,Entire home/apt,85,2,187,2019-07-04,2.04,1,48
292285,Sleek & Modern OB Condo 2+2 BCH,466847,Heather,,Loma Portal,32.74917,-117.23127,Entire home/apt,2600,10,43,2019-06-28,0.58,1,138
293609,Stunning Home -Indoor/Outdoor Style,1502676,Aaron,,West University Heights,32.75985,-117.14354,Entire home/apt,149,2,221,2019-06-18,3.02,6,196
299720,Bankers Hill Studio by Balboa Park,384706,Dhiraj,,Midtown,32.73457,-117.1643,Entire home/apt,142,28,35,2019-07-05,0.38,1,337
311052,Historic Kensington Craftsman Charm,1192708,Jennifer,,Kensington,32.76133,-117.10455,Private room,70,1,371,2019-06-26,4.09,1,46
323711,Cute little Granny Flat  San Diego ,1657906,Bebe,,Lake Murray,32.79524,-117.00936,Entire home/apt,85,1,12,2015-07-19,0.14,1,0
323773,Little Italy Executive Penthouse,1657242,Kristin,,Little Italy,32.7218,-117.16687,Entire home/apt,167,30,1,2014-06-17,0.02,1,287
331892,In the heart of San Diego and UCSD Medical Center,1689428,Gene,,Midtown,32.75002,-117.16628,Private room,65,2,81,2019-06-29,0.91,1,337
334730,Craftsman Cottage in Mission Hillls,1288792,Celia,,Old Town,32.75124,-117.18347,Entire home/apt,99,2,233,2019-06-09,2.58,1,166
343495,Private & Cozy Bohemian OB Cottage,1012168,Chuck & Helen,,Ocean Beach,32.75182,-117.24502,Entire home/apt,110,2,318,2019-07-07,4.22,1,183
359838,"$110/Convent Ctr, zoo, museum, gaslamp, balboa # 2",861297,Ron,,Balboa Park,32.71708,-117.13934,Entire home/apt,110,2,24,2019-04-15,0.28,9,318
359971,Hillcrest - (close to Zoo & Balboa Park),1821106,Marcela,,West University Heights,32.75742,-117.14789,Entire home/apt,96,28,79,2019-04-07,0.89,1,318
366811,Private Floor to yourselves with game room,1852011,Brian,,Clairemont Mesa,32.81758,-117.16845,Entire home/apt,90,3,259,2019-06-25,2.96,1,15
373322,Pacific Beach San Diego Bay,1402683,Sandra,,Mission Bay,32.79247,-117.23293,Entire home/apt,257,2,14,2019-07-11,0.18,2,301
385343,Charming Beach Retreat,1011433,Vicky,,Ocean Beach,32.75433,-117.2477,Entire home/apt,139,3,19,2012-08-14,0.21,1,0
385760,"Super location, quiet neighborhood",1486293,Ann,,Loma Portal,32.75719,-117.22755,Private room,50,30,150,2019-07-09,1.89,1,191
392534,San Diego Bankers Hill Guest Room,1349966,Dana,,Park West,32.72779,-117.15942,Private room,75,1,32,2019-06-05,0.37,2,195
393042,ComiCon  rm. Point Loma,164137,Melinda,,Roseville,32.73815,-117.22005,Private room,135,1,48,2019-03-15,0.56,3,0
394524,Private Studio next to the beach,1972369,Edward,,Pacific Beach,32.80143,-117.25725,Entire home/apt,127,1,88,2019-07-01,1.03,1,350
395071,Mission Beach meets Mission Bay,1974643,Debbie,,Mission Bay,32.78937,-117.25509,Entire home/apt,235,1,64,2019-06-29,0.73,3,324
396390,Independent room in the back garden,1980775,Shirley,,Midtown,32.74494,-117.17412,Entire home/apt,70,2,117,2019-07-07,1.37,1,319
401431,Charming Ocean Beach cottage,2003694,Edwin,,Ocean Beach,32.75127,-117.2489,Entire home/apt,125,3,37,2019-06-15,0.42,3,78
401581,cozy home close to wind n sea beach,2004456,Linda,,La Jolla,32.83077,-117.27335,Private room,59,4,6,2016-02-29,0.07,1,0
409649,Looking for Roommate to share condo,2039313,Bernice,,Clairemont Mesa,32.80408,-117.16061,Private room,35,1,5,2018-06-30,0.07,1,316
409683,The La Jolla Beach Cottage,1144421,Patrick + Lani,,La Jolla,32.83919,-117.27776,Entire home/apt,267,2,230,2019-07-07,2.64,1,318
410726,Wonderful La Jolla Beach Retreat!,2044776,Mauricio,,La Jolla,32.8345,-117.27567,Entire home/apt,250,3,157,2019-06-24,1.84,1,128
413705,San Diego HOME  Beautiful --EAST -Bdrm,2058261,Chelo,,Bay Park,32.77925,-117.20543,Private room,47,3,97,2019-07-07,3.48,2,66
426121,Charming & Centrally Located Apt,2118023,Tricia,,Midtown,32.74258,-117.17784,Entire home/apt,109,1,108,2019-07-08,1.23,1,297
438786,1925 Hillcrest Studio with Private Sundeck,2165667,Camila,,North Hills,32.74947,-117.14343,Entire home/apt,85,1,366,2019-07-01,6.01,2,305
443994,Serene San Diego Canyon Getaway,2205580,Al,,Clairemont Mesa,32.80278,-117.1896,Entire home/apt,110,3,148,2019-07-11,1.72,1,22
460007,Historic Victorian Charm Downtown (Carriage House),2456675,Chloe,,Cortez Hill,32.7203,-117.16327,Entire home/apt,120,2,229,2019-06-25,2.65,7,229
460016,Victorian Charmer Downtown #222 (upstairs),2456675,Chloe,,Cortez Hill,32.72019,-117.163,Entire home/apt,165,2,307,2019-06-22,3.54,7,226
462375,Charming Craftsman House 3br/2ba,2297747,Katalin,,Balboa Park,32.72069,-117.13104,Entire home/apt,250,3,9,2017-07-05,0.11,1,0
466663,Walk to bay/downtwn  park BLUE ROOM,2315442,Michael,,Park West,32.72662,-117.16599,Private room,49,1,537,2019-06-20,6.21,10,67
467573,Condo in San Diego near downtown,2321070,Elise,,Midtown,32.74919,-117.1531,Private room,50,30,119,2019-06-17,1.42,1,83
468475,Garden Cottage blocks to bay/dwntwn,2315442,Michael,,Park West,32.7266,-117.16376,Private room,40,1,470,2019-06-29,5.52,10,72
470519,Walk To All Bay/Park/Zoo/Gaslamp/Convention/Loft,2315442,Michael,,Park West,32.72795,-117.16392,Private room,39,1,462,2019-06-24,5.43,10,81
470520,Outdoor shower walk to all Greenrom,2315442,Michael,,Park West,32.72728,-117.16441,Private room,39,1,541,2019-07-09,6.30,10,72
472433,Beachfront La Jolla Home - Sunsets!,2342941,John,,La Jolla,32.82862,-117.28008,Entire home/apt,650,3,23,2019-06-23,0.28,1,323
473679,Studio in the Heart of South Park!,2325333,Julie,,South Park,32.72006,-117.12752,Entire home/apt,69,2,361,2019-07-12,4.50,2,312
474236,Spacious Kid-Friendly Home w/Pool,2315693,Tina,,Lake Murray,32.79696,-117.03319,Entire home/apt,239,5,9,2017-12-28,0.11,1,0
479322,The Hipster,2253314,Rene,,Grant Hill,32.71009,-117.14451,Entire home/apt,129,2,448,2019-07-09,5.20,2,46
482741,1 BR in Charming 2 BR Apt University Heights,1809198,Raman,,West University Heights,32.75793,-117.14805,Private room,38,90,17,2019-06-24,0.20,1,365
483463,Urban San Diego Cottage with Garden,2393291,Tricia,,Normal Heights,32.75697,-117.12101,Entire home/apt,137,3,146,2019-06-28,1.84,1,280
483688,Quaint cottage near USD/Old Town and trolley line,2385909,James,,Moreno Mission,32.76516,-117.18973,Entire home/apt,126,2,158,2019-07-10,1.85,5,284
486611,Stylish Loft located in the GasLamp,5879885,Brandon,,East Village,32.7143,-117.15885,Entire home/apt,120,30,0,,,12,333
495832,Perfect Pacific Beach Bungalow -Includes Parking!,2448935,Ganesa,,Pacific Beach,32.80427,-117.24335,Entire home/apt,139,2,205,2019-07-08,2.38,1,21
497584,Lavishly Restored 2 bedroom #218,2456675,Chloe,,Cortez Hill,32.72011,-117.16364,Entire home/apt,140,2,307,2019-06-26,3.57,7,277
500915,Craftsman in hip area near downtown,2471170,Matthew,,South Park,32.72858,-117.12689,Entire home/apt,199,3,42,2019-06-20,0.49,2,7
501019,Featured on the Tiny House Hunters Show!,2472050,Susanne,,Old Town,32.75294,-117.18003,Entire home/apt,165,3,24,2019-07-07,0.28,1,339
506774,Cozy Backyard Cottage in South Park,2498685,Joy,,South Park,32.71994,-117.12865,Entire home/apt,89,2,288,2019-07-11,3.35,2,0
519849,New Eco Luxury Guest House,2558457,Kristen,,Mission Bay,32.79123,-117.23557,Entire home/apt,200,3,86,2019-07-07,1.11,1,322
522108,Charming Craftsman in South Park,2498685,Joy,,South Park,32.71905,-117.12827,Entire home/apt,225,3,34,2019-05-27,0.40,2,8
531406,Extreme home stay in La Jolla!,2608408,Cooleen & Ted,,La Jolla,32.83253,-117.25909,Private room,130,2,70,2018-09-22,0.82,2,316
533390,Private 1 bedroom ‘BirdsNest’ by the Park,2621222,Dennis,,North Hills,32.74152,-117.13474,Entire home/apt,290,3,10,2019-06-03,0.17,1,0
560227,Mission Bay - Views to Ocean & Bay,57109,William,,Mission Bay,32.78604,-117.25334,Entire home/apt,200,30,2,2012-11-24,0.02,2,31
561997,"ENCHANTING SANCTUARY, CENTRAL TO ALL",2740315,Beverlee,,Bay Park,32.80654,-117.19621,Entire home/apt,199,3,102,2019-07-06,1.20,1,342
564627,Beach Home 2blocks from the beach.,2486270,Jason,,Pacific Beach,32.80695,-117.25428,Entire home/apt,961,2,9,2014-01-11,0.11,1,365
571552,2bd/2ba PENTHOUSE in a Cloud,2813298,David,,East Village,32.71089,-117.15446,Entire home/apt,295,2,22,2015-11-29,0.26,1,0
571822,La Jolla Kid Friendly Beach House,470998,Miriam,,La Jolla,32.81549,-117.26378,Entire home/apt,450,1,145,2019-07-06,1.96,3,258
576112,Soulful Studio 2 Blocks to Beach,2833833,Ryder & Michelle,,Pacific Beach,32.80432,-117.25331,Entire home/apt,125,1,469,2019-07-10,5.54,6,62
579543,Tropical Oasis in Ocean Beach SD,2850478,Veronica,,Loma Portal,32.7477,-117.24382,Entire home/apt,200,1,12,2019-06-30,0.16,1,292
585426,4 Br Large Family House Normal Heights San Diego,2885527,Linda,,Normal Heights,32.76517,-117.12635,Entire home/apt,200,3,90,2019-07-08,1.07,4,225
585469,Aunt Chris' San Diego Getaway,2886419,Christine,,South Park,32.7285,-117.12425,Entire home/apt,74,1,437,2019-06-28,5.19,2,120
587443,Great RV/nearMISSION BAY/ FREE WIFI,1005583,Tanja,,Moreno Mission,32.77268,-117.20348,Entire home/apt,48,1,541,2019-07-08,6.39,5,179
587471,"Amazing ocean view, Rooftop spa, Close to downtown",266381,Sean,,Ocean Beach,32.73598,-117.25136,Entire home/apt,750,3,18,2019-07-06,0.43,1,217
589214,MOST POPULAR LISTING WALK TO BAY DOWNTOWN PARK/ZOO,2315442,Michael,,Park West,32.7266,-117.16571,Private room,59,1,614,2019-06-29,7.39,10,43
589254,Hillcrest San Diego Midcentury Bedroom Bathroom,1117966,John,,Midtown,32.7424,-117.16346,Private room,49,2,173,2019-06-23,2.86,2,0
589500,MONTHLY RENTAL - Hillcrest-San Diego-Pool/Spa/Gym,2908109,Lisen & Cortney,,Midtown,32.74865,-117.15224,Entire home/apt,120,30,11,2018-08-01,0.13,1,289
591575,Luxury Condo with Ocean Views,2919820,Karl,,La Jolla,32.82935,-117.27878,Entire home/apt,365,3,44,2019-06-29,1.15,2,259
597609,Vista Del Mar Two,2919820,Karl,,La Jolla,32.82763,-117.27862,Entire home/apt,365,3,33,2019-06-29,0.91,2,280
602985,Quaint Historic Beach House,6627782,Sarah,,Ocean Beach,32.74541,-117.24939,Entire home/apt,197,3,162,2019-05-07,1.96,2,229
604169,"BOAT, BED & BREAKFAST - ""SLIPAWAY"" - 45'  Ketch",2990799,Shaun,,Midtown District,32.71833,-117.22137,Entire home/apt,255,2,16,2019-05-23,0.21,8,82
606508,"condos in San Diego, CA",103427,Magalie,,East Village,32.71878,-117.15331,Entire home/apt,275,1,1,2015-06-10,0.02,4,362
610920,La Jolla Beach Beauty ~ 3bd/2ba walk to beach/surf,3028993,Kimber,,La Jolla,32.81395,-117.26666,Entire home/apt,525,3,4,2018-11-25,0.05,1,161
611250,Walk to bay downtownn Priv 1/2 bath,2315442,Michael,,Park West,32.72727,-117.16611,Private room,39,1,424,2019-07-09,5.02,10,74
614111,"Ocean View, Walk to Beach and more!",3046058,Felicia,,Del Mar Heights,32.93496,-117.25553,Entire home/apt,300,3,1,2019-07-01,1,1,346
616718,Priv Bath Walk to Bay/downotwn/park,2315442,Michael,,Park West,32.72831,-117.16564,Private room,79,1,534,2019-06-28,6.33,10,71
631271,Downtown San Diego Loft,1121416,Andre,,East Village,32.71553,-117.15311,Entire home/apt,126,30,96,2018-09-01,1.15,2,111
635756,Modern San Diego Condo with Views!,2414872,Laura,,East Village,32.70894,-117.15618,Entire home/apt,80,30,20,2019-03-14,0.39,1,310
637308,La Jolla Castle in the Sky,3178591,David,,La Jolla,32.84117,-117.26714,Entire home/apt,895,4,1,2012-10-05,0.01,1,208
641013,BednBike with en-suite bathroom.,3201412,David And Briana,,Balboa Park,32.71668,-117.14704,Private room,29,2,222,2019-07-10,3.06,3,60
642164,"Safe, Walkable, Historic Neighborhood",3209013,Morgan,,Kensington,32.76642,-117.10549,Entire home/apt,300,4,27,2018-08-20,0.33,1,194
643253,Private Bungalow in an Urban Oasis,1156979,Rachael,,City Heights East,32.75018,-117.09889,Private room,36,1,57,2019-07-11,0.68,3,91
